feature_name,group,scope,definition,formula,unit,zero_denominator_guard,missing_rule,parameters,parameter_source,q2_default_feature
fd_f95_hz_0_6k,frequency,source_and_target,frequency containing 95% cumulative PSD in 0-6 kHz,min f: CDF_P(f)>=0.95,Hz,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
fd_entropy_0_6k,frequency,source_and_target,normalized spectral entropy in 0-6 kHz,-sum(q log q)/log(K),dimensionless,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
fd_energy_ratio_0_500,frequency,source_and_target,PSD energy ratio 0-500 Hz,"E[0,500)/E[0,6000]",dimensionless,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
fd_energy_ratio_500_1500,frequency,source_and_target,PSD energy ratio 500-1500 Hz,"E[500,1500)/E[0,6000]",dimensionless,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
fd_energy_ratio_1500_3000,frequency,source_and_target,PSD energy ratio 1500-3000 Hz,"E[1500,3000)/E[0,6000]",dimensionless,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
fd_energy_ratio_3000_6000,frequency,source_and_target,PSD energy ratio 3000-6000 Hz,"E[3000,6000]/E[0,6000]",dimensionless,eps=1e-12 for total energy/sums,0 if empty band; raw signal non-finite raises,"Welch nperseg=min(4096,N), 50% internal Welch overlap; common band <=6 kHz",common frequency support under M1/M2 protocol; deterministic,True
env_rms,envelope_generic,source_and_target,RMS of demeaned Hilbert envelope,sqrt(mean((|Hilbert(x)|-mean)^2)),signal unit,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_kurtosis,envelope_generic,source_and_target,Pearson kurtosis of demeaned envelope,"kurtosis(env, fisher=False)",dimensionless,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_dominant_hz_0_500,envelope_generic,source_and_target,dominant envelope frequency 0-500 Hz,argmax_f P_env(f),Hz,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_centroid_hz_0_500,envelope_generic,source_and_target,envelope spectral centroid 0-500 Hz,sum(f*P_env)/sum(P_env),Hz,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_entropy_0_500,envelope_generic,source_and_target,normalized envelope spectral entropy 0-500 Hz,-sum(q log q)/log(K),dimensionless,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_energy_ratio_0_50,envelope_generic,source_and_target,envelope energy ratio 0-50 Hz,"E_env[0,50)/E_env[0,500]",dimensionless,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_energy_ratio_50_150,envelope_generic,source_and_target,envelope energy ratio 50-150 Hz,"E_env[50,150)/E_env[0,500]",dimensionless,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_energy_ratio_150_300,envelope_generic,source_and_target,envelope energy ratio 150-300 Hz,"E_env[150,300)/E_env[0,500]",dimensionless,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
env_energy_ratio_300_500,envelope_generic,source_and_target,envelope energy ratio 300-500 Hz,"E_env[300,500]/E_env[0,500]",dimensionless,eps=1e-12 for energy/sums,0 if empty band; raw signal non-finite raises,full-window Hann periodogram; 0-500 Hz,STEP03: envelope used as supporting weak-fault descriptor,True
mech_bpfo_ratio_1x,mechanism,source_only,local envelope-power ratio near 1x BPFO,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bpfo_ratio_2x,mechanism,source_only,local envelope-power ratio near 2x BPFO,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bpfo_ratio_3x,mechanism,source_only,local envelope-power ratio near 3x BPFO,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bpfi_ratio_1x,mechanism,source_only,local envelope-power ratio near 1x BPFI,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bpfi_ratio_2x,mechanism,source_only,local envelope-power ratio near 2x BPFI,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bpfi_ratio_3x,mechanism,source_only,local envelope-power ratio near 3x BPFI,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bsf_ratio_1x,mechanism,source_only,local envelope-power ratio near 1x BSF,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bsf_ratio_2x,mechanism,source_only,local envelope-power ratio near 2x BSF,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bsf_ratio_3x,mechanism,source_only,local envelope-power ratio near 3x BSF,mean(P_target_band)/(mean(P_background_band)+eps),dimensionless,eps=1e-12,NaN for target because target bearing geometry is unavailable,"delta=max(2 Hz, 3% of center); background at 2delta-5delta",official SKF6205 geometry + STEP03 tolerance convention,False
mech_bpfi_sideband_to_center_1x,mechanism,source_only,BPFI +/- shaft-frequency sideband power relative to BPFI center,(P(BPFI-fr)+P(BPFI+fr))/(2*P(BPFI)+eps),dimensionless,eps=1e-12,NaN for target,same local tolerance as mechanism bands,inner-race modulation mechanism; SKF6205 source only,False
mech_bsf_sideband_to_center_1x,mechanism,source_only,BSF +/- FTF sideband power relative to BSF center,(P(BSF-FTF)+P(BSF+FTF))/(2*P(BSF)+eps),dimensionless,eps=1e-12,NaN for target,same local tolerance as mechanism bands,rolling-element modulation mechanism; SKF6205 source only,False
